GameID,Date,Player,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
ANA202204070,April 7,"Framber Valdez, W (1-0)",6.2,2,0,0,1,6,0,0.00,22,84,54,26,11,17,11,4,3,0,75,,,0.438,1.11,0.27%,1.13,3.2
ANA202204070,April 7,"Phil Maton, H (1)",1,1,1,1,0,1,0,9.00,5,14,10,5,4,1,1,2,1,0,,1,0,0.007,0.90,0.00%,0.91,-0.6
ANA202204070,April 7,"Hector Neris, H (1)",0.1,0,0,0,0,0,0,0.00,1,5,3,3,0,0,0,1,0,0,,1,0,0.054,1.98,0.03%,2.01,0.4
ANA202204070,April 7,"Ryan Pressly, S (1)",1,1,0,0,0,0,0,0.00,3,8,5,4,0,1,1,2,0,0,,0,0,0.088,2.59,0.05%,2.63,0.5
