GameID,Date,home_team,away_team,home_score,away_score,winner,venue
ARI201403220,"March 22, 2014",Arizona Diamondbacks,Los Angeles Dodgers,1,3,Los Angeles Dodgers,Sydney Cricket Grounds
BAL201403310,"March 31, 2014",Baltimore Orioles,Boston Red Sox,2,1,Baltimore Orioles,Oriole Park at Camden Yards
ARI201403310,"March 31, 2014",Arizona Diamondbacks,San Francisco Giants,8,9,San Francisco Giants,Chase Field
SDN201403300,"March 30, 2014",San Diego Padres,Los Angeles Dodgers,3,1,San Diego Padres,Petco Park
CIN201403310,"March 31, 2014",Cincinnati Reds,St. Louis Cardinals,0,1,St. Louis Cardinals,Great American Ball Park
ARI201403230,"March 23, 2014",Arizona Diamondbacks,Los Angeles Dodgers,5,7,Los Angeles Dodgers,Sydney Cricket Grounds
MIA201403310,"March 31, 2014",Miami Marlins,Colorado Rockies,10,1,Miami Marlins,Marlins Park
DET201403310,"March 31, 2014",Detroit Tigers,Kansas City Royals,4,3,Detroit Tigers,Comerica Park
CHA201403310,"March 31, 2014",Chicago White Sox,Minnesota Twins,5,3,Chicago White Sox,U.S. Cellular Field
TBA201403310,"March 31, 2014",Tampa Bay Rays,Toronto Blue Jays,9,2,Tampa Bay Rays,Tropicana Field
NYN201403310,"March 31, 2014",New York Mets,Washington Nationals,7,9,Washington Nationals,Citi Field
OAK201403310,"March 31, 2014",Oakland Athletics,Cleveland Indians,0,2,Cleveland Indians,O.co Coliseum
MIL201403310,"March 31, 2014",Milwaukee Brewers,Atlanta Braves,2,0,Milwaukee Brewers,Miller Park
PIT201403310,"March 31, 2014",Pittsburgh Pirates,Chicago Cubs,1,0,Pittsburgh Pirates,PNC Park
ANA201403310,"March 31, 2014",Los Angeles Angels of Anaheim,Seattle Mariners,3,10,Seattle Mariners,Angel Stadium of Anaheim
MIA201404010,"April  1, 2014",Miami Marlins,Colorado Rockies,4,3,Miami Marlins,Marlins Park
TBA201404010,"April  1, 2014",Tampa Bay Rays,Toronto Blue Jays,2,4,Toronto Blue Jays,Tropicana Field
MIL201404010,"April  1, 2014",Milwaukee Brewers,Atlanta Braves,2,5,Atlanta Braves,Miller Park
ARI201404010,"April  1, 2014",Arizona Diamondbacks,San Francisco Giants,5,4,Arizona Diamondbacks,Chase Field
TEX201403310,"March 31, 2014",Texas Rangers,Philadelphia Phillies,10,14,Philadelphia Phillies,Globe Life Park in Arlington
TEX201404010,"April  1, 2014",Texas Rangers,Philadelphia Phillies,3,2,Texas Rangers,Globe Life Park in Arlington
SDN201404010,"April  1, 2014",San Diego Padres,Los Angeles Dodgers,2,3,Los Angeles Dodgers,Petco Park
ANA201404010,"April  1, 2014",Los Angeles Angels of Anaheim,Seattle Mariners,3,8,Seattle Mariners,Angel Stadium of Anaheim
DET201404020,"April  2, 2014",Detroit Tigers,Kansas City Royals,2,1,Detroit Tigers,Comerica Park
CIN201404020,"April  2, 2014",Cincinnati Reds,St. Louis Cardinals,1,0,Cincinnati Reds,Great American Ball Park
HOU201404010,"April  1, 2014",Houston Astros,New York Yankees,6,2,Houston Astros,Minute Maid Park
ANA201404020,"April  2, 2014",Los Angeles Angels of Anaheim,Seattle Mariners,2,8,Seattle Mariners,Angel Stadium of Anaheim
BAL201404020,"April  2, 2014",Baltimore Orioles,Boston Red Sox,2,6,Boston Red Sox,Oriole Park at Camden Yards
HOU201404020,"April  2, 2014",Houston Astros,New York Yankees,3,1,Houston Astros,Minute Maid Park
MIL201404020,"April  2, 2014",Milwaukee Brewers,Atlanta Braves,0,1,Atlanta Braves,Miller Park
NYN201404020,"April  2, 2014",New York Mets,Washington Nationals,1,5,Washington Nationals,Citi Field
OAK201404022,"April  2, 2014",Oakland Athletics,Cleveland Indians,4,6,Cleveland Indians,O.co Coliseum
CHA201404020,"April  2, 2014",Chicago White Sox,Minnesota Twins,7,6,Chicago White Sox,U.S. Cellular Field
ARI201404020,"April  2, 2014",Arizona Diamondbacks,San Francisco Giants,0,2,San Francisco Giants,Chase Field
PIT201404020,"April  2, 2014",Pittsburgh Pirates,Chicago Cubs,4,3,Pittsburgh Pirates,PNC Park
ARI201404030,"April  3, 2014",Arizona Diamondbacks,San Francisco Giants,5,8,San Francisco Giants,Chase Field
SDN201404020,"April  2, 2014",San Diego Padres,Los Angeles Dodgers,1,5,Los Angeles Dodgers,Petco Park
TEX201404020,"April  2, 2014",Texas Rangers,Philadelphia Phillies,4,3,Texas Rangers,Globe Life Park in Arlington
MIA201404030,"April  3, 2014",Miami Marlins,Colorado Rockies,8,5,Miami Marlins,Marlins Park
CIN201404030,"April  3, 2014",Cincinnati Reds,St. Louis Cardinals,6,7,St. Louis Cardinals,Great American Ball Park
CHA201404030,"April  3, 2014",Chicago White Sox,Minnesota Twins,9,10,Minnesota Twins,U.S. Cellular Field
BAL201404030,"April  3, 2014",Baltimore Orioles,Boston Red Sox,3,4,Boston Red Sox,Oriole Park at Camden Yards
