GameID,Date,home_team,away_team,home_score,away_score,winner,venue
NYN201204050,"April  5, 2012",New York Mets,Atlanta Braves,1,0,New York Mets,Citi Field
OAK201203290,"March 29, 2012",Oakland Athletics,Seattle Mariners,4,1,Oakland Athletics,Tokyo Dome
SDN201204050,"April  5, 2012",San Diego Padres,Los Angeles Dodgers,3,5,Los Angeles Dodgers,Petco Park
CIN201204050,"April  5, 2012",Cincinnati Reds,Miami Marlins,4,0,Cincinnati Reds,Great American Ball Park
PIT201204050,"April  5, 2012",Pittsburgh Pirates,Philadelphia Phillies,0,1,Philadelphia Phillies,PNC Park
MIA201204040,"April  4, 2012",Miami Marlins,St. Louis Cardinals,1,4,St. Louis Cardinals,Marlins Park
BAL201204060,"April  6, 2012",Baltimore Orioles,Minnesota Twins,4,2,Baltimore Orioles,Oriole Park at Camden Yards
DET201204050,"April  5, 2012",Detroit Tigers,Boston Red Sox,3,2,Detroit Tigers,Comerica Park
HOU201204060,"April  6, 2012",Houston Astros,Colorado Rockies,3,5,Colorado Rockies,Minute Maid Park
OAK201203280,"March 28, 2012",Oakland Athletics,Seattle Mariners,1,3,Seattle Mariners,Tokyo Dome
CHN201204050,"April  5, 2012",Chicago Cubs,Washington Nationals,1,2,Washington Nationals,Wrigley Field
OAK201204060,"April  6, 2012",Oakland Athletics,Seattle Mariners,3,7,Seattle Mariners,O.co Coliseum
MIL201204060,"April  6, 2012",Milwaukee Brewers,St. Louis Cardinals,5,11,St. Louis Cardinals,Miller Park
ANA201204070,"April  7, 2012",Los Angeles Angels of Anaheim,Kansas City Royals,3,6,Kansas City Royals,Angel Stadium of Anaheim
ANA201204060,"April  6, 2012",Los Angeles Angels of Anaheim,Kansas City Royals,5,0,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim
BAL201204070,"April  7, 2012",Baltimore Orioles,Minnesota Twins,8,2,Baltimore Orioles,Oriole Park at Camden Yards
TEX201204060,"April  6, 2012",Texas Rangers,Chicago White Sox,3,2,Texas Rangers,Rangers Ballpark in Arlington
TBA201204060,"April  6, 2012",Tampa Bay Rays,New York Yankees,7,6,Tampa Bay Rays,Tropicana Field
ARI201204060,"April  6, 2012",Arizona Diamondbacks,San Francisco Giants,5,4,Arizona Diamondbacks,Chase Field
ARI201204070,"April  7, 2012",Arizona Diamondbacks,San Francisco Giants,5,4,Arizona Diamondbacks,Chase Field
CHN201204070,"April  7, 2012",Chicago Cubs,Washington Nationals,4,7,Washington Nationals,Wrigley Field
