GameID,Date,home_team,away_team,home_score,away_score,winner,venue
HOU201704030,"April  3, 2017",Houston Astros,Seattle Mariners,3,0,Houston Astros,Minute Maid Park
ARI201704020,"April  2, 2017",Arizona Diamondbacks,San Francisco Giants,6,5,Arizona Diamondbacks,Chase Field
SLN201704020,"April  2, 2017",St. Louis Cardinals,Chicago Cubs,4,3,St. Louis Cardinals,Busch Stadium III
OAK201704030,"April  3, 2017",Oakland Athletics,Los Angeles Angels,4,2,Oakland Athletics,Oakland-Alameda County Coliseum
LAN201704030,"April  3, 2017",Los Angeles Dodgers,San Diego Padres,14,3,Los Angeles Dodgers,Dodger Stadium
MIN201704030,"April  3, 2017",Minnesota Twins,Kansas City Royals,7,1,Minnesota Twins,Target Field
BOS201704030,"April  3, 2017",Boston Red Sox,Pittsburgh Pirates,5,3,Boston Red Sox,Fenway Park
CIN201704030,"April  3, 2017",Cincinnati Reds,Philadelphia Phillies,3,4,Philadelphia Phillies,Great American Ball Park
MIL201704030,"April  3, 2017",Milwaukee Brewers,Colorado Rockies,5,7,Colorado Rockies,Miller Park
NYN201704030,"April  3, 2017",New York Mets,Atlanta Braves,6,0,New York Mets,Citi Field
TEX201704030,"April  3, 2017",Texas Rangers,Cleveland Indians,5,8,Cleveland Indians,Globe Life Park in Arlington
BAL201704030,"April  3, 2017",Baltimore Orioles,Toronto Blue Jays,3,2,Baltimore Orioles,Oriole Park at Camden Yards
CHA201704040,"April  4, 2017",Chicago White Sox,Detroit Tigers,3,6,Detroit Tigers,"36,534"
TBA201704020,"April  2, 2017",Tampa Bay Rays,New York Yankees,7,3,Tampa Bay Rays,Tropicana Field
WAS201704030,"April  3, 2017",Washington Nationals,Miami Marlins,4,2,Washington Nationals,Nationals Park
TBA201704040,"April  4, 2017",Tampa Bay Rays,New York Yankees,0,5,New York Yankees,Tropicana Field
SLN201704040,"April  4, 2017",St. Louis Cardinals,Chicago Cubs,1,2,Chicago Cubs,Busch Stadium III
TEX201704040,"April  4, 2017",Texas Rangers,Cleveland Indians,3,4,Cleveland Indians,Globe Life Park in Arlington
OAK201704040,"April  4, 2017",Oakland Athletics,Los Angeles Angels,6,7,Los Angeles Angels,Oakland-Alameda County Coliseum
HOU201704040,"April  4, 2017",Houston Astros,Seattle Mariners,2,1,Houston Astros,Minute Maid Park
ARI201704040,"April  4, 2017",Arizona Diamondbacks,San Francisco Giants,4,8,San Francisco Giants,Chase Field
MIL201704040,"April  4, 2017",Milwaukee Brewers,Colorado Rockies,5,6,Colorado Rockies,Miller Park
MIL201704050,"April  5, 2017",Milwaukee Brewers,Colorado Rockies,6,1,Milwaukee Brewers,Miller Park
LAN201704050,"April  5, 2017",Los Angeles Dodgers,San Diego Padres,3,1,Los Angeles Dodgers,Dodger Stadium
ARI201704050,"April  5, 2017",Arizona Diamondbacks,San Francisco Giants,8,6,Arizona Diamondbacks,Chase Field
LAN201704040,"April  4, 2017",Los Angeles Dodgers,San Diego Padres,0,4,San Diego Padres,Dodger Stadium
CIN201704050,"April  5, 2017",Cincinnati Reds,Philadelphia Phillies,2,0,Cincinnati Reds,Great American Ball Park
BOS201704050,"April  5, 2017",Boston Red Sox,Pittsburgh Pirates,3,0,Boston Red Sox,Fenway Park
HOU201704050,"April  5, 2017",Houston Astros,Seattle Mariners,5,3,Houston Astros,Minute Maid Park
NYN201704050,"April  5, 2017",New York Mets,Atlanta Braves,1,3,Atlanta Braves,Citi Field
OAK201704050,"April  5, 2017",Oakland Athletics,Los Angeles Angels,0,5,Los Angeles Angels,Oakland-Alameda County Coliseum
BAL201704050,"April  5, 2017",Baltimore Orioles,Toronto Blue Jays,3,1,Baltimore Orioles,Oriole Park at Camden Yards
WAS201704050,"April  5, 2017",Washington Nationals,Miami Marlins,6,4,Washington Nationals,Nationals Park
CIN201704060,"April  6, 2017",Cincinnati Reds,Philadelphia Phillies,7,4,Cincinnati Reds,Great American Ball Park
ARI201704060,"April  6, 2017",Arizona Diamondbacks,San Francisco Giants,9,3,Arizona Diamondbacks,Chase Field
TBA201704050,"April  5, 2017",Tampa Bay Rays,New York Yankees,4,1,Tampa Bay Rays,Tropicana Field
TEX201704050,"April  5, 2017",Texas Rangers,Cleveland Indians,6,9,Cleveland Indians,Globe Life Park in Arlington
MIL201704060,"April  6, 2017",Milwaukee Brewers,Colorado Rockies,1,2,Colorado Rockies,Miller Park
MIN201704050,"April  5, 2017",Minnesota Twins,Kansas City Royals,9,1,Minnesota Twins,Target Field
HOU201704060,"April  6, 2017",Houston Astros,Seattle Mariners,2,4,Seattle Mariners,Minute Maid Park
CHA201704060,"April  6, 2017",Chicago White Sox,Detroit Tigers,11,2,Chicago White Sox,Guaranteed Rate Field
ANA201704070,"April  7, 2017",Los Angeles Angels,Seattle Mariners,5,1,Los Angeles Angels,Angel Stadium of Anaheim
SLN201704060,"April  6, 2017",St. Louis Cardinals,Chicago Cubs,4,6,Chicago Cubs,"44,039"
LAN201704060,"April  6, 2017",Los Angeles Dodgers,San Diego Padres,10,2,Los Angeles Dodgers,Dodger Stadium
NYN201704060,"April  6, 2017",New York Mets,Atlanta Braves,6,2,New York Mets,Citi Field
TBA201704060,"April  6, 2017",Tampa Bay Rays,Toronto Blue Jays,2,5,Toronto Blue Jays,Tropicana Field
BAL201704070,"April  7, 2017",Baltimore Orioles,New York Yankees,6,5,Baltimore Orioles,Oriole Park at Camden Yards
DET201704070,"April  7, 2017",Detroit Tigers,Boston Red Sox,6,5,Detroit Tigers,Comerica Park
WAS201704060,"April  6, 2017",Washington Nationals,Miami Marlins,3,4,Miami Marlins,Nationals Park
OAK201704060,"April  6, 2017",Oakland Athletics,Los Angeles Angels,5,1,Oakland Athletics,Oakland-Alameda County Coliseum
MIN201704060,"April  6, 2017",Minnesota Twins,Kansas City Royals,5,3,Minnesota Twins,Target Field
