GameID,Date,home_team,away_team,home_score,away_score,winner,venue
CIN201103310,"March 31, 2011",Cincinnati Reds,Milwaukee Brewers,7,6,Cincinnati Reds,Great American Ball Park
KCA201103310,"March 31, 2011",Kansas City Royals,Los Angeles Angels of Anaheim,2,4,Los Angeles Angels of Anaheim,Kauffman Stadium
LAN201103310,"March 31, 2011",Los Angeles Dodgers,San Francisco Giants,2,1,Los Angeles Dodgers,Dodger Stadium
NYA201103310,"March 31, 2011",New York Yankees,Detroit Tigers,6,3,New York Yankees,Yankee Stadium III
SLN201103310,"March 31, 2011",St. Louis Cardinals,San Diego Padres,3,5,San Diego Padres,Busch Stadium III
WAS201103310,"March 31, 2011",Washington Nationals,Atlanta Braves,0,2,Atlanta Braves,Nationals Park
CHN201104010,"April  1, 2011",Chicago Cubs,Pittsburgh Pirates,3,6,Pittsburgh Pirates,Wrigley Field
CLE201104010,"April  1, 2011",Cleveland Indians,Chicago White Sox,10,15,Chicago White Sox,Progressive Field
COL201104010,"April  1, 2011",Colorado Rockies,Arizona Diamondbacks,6,7,Arizona Diamondbacks,Coors Field
FLO201104010,"April  1, 2011",Florida Marlins,New York Mets,6,2,Florida Marlins,Sun Life Stadium
KCA201104010,"April  1, 2011",Kansas City Royals,Los Angeles Angels of Anaheim,2,1,Kansas City Royals,Kauffman Stadium
LAN201104010,"April  1, 2011",Los Angeles Dodgers,San Francisco Giants,4,3,Los Angeles Dodgers,Dodger Stadium
OAK201104010,"April  1, 2011",Oakland Athletics,Seattle Mariners,2,6,Seattle Mariners,O.co Coliseum
PHI201104010,"April  1, 2011",Philadelphia Phillies,Houston Astros,5,4,Philadelphia Phillies,Citizens Bank Park
TBA201104010,"April  1, 2011",Tampa Bay Rays,Baltimore Orioles,1,4,Baltimore Orioles,Tropicana Field
TEX201104010,"April  1, 2011",Texas Rangers,Boston Red Sox,9,5,Texas Rangers,Rangers Ballpark in Arlington
TOR201104010,"April  1, 2011",Toronto Blue Jays,Minnesota Twins,13,3,Toronto Blue Jays,Rogers Centre
CHN201104020,"April  2, 2011",Chicago Cubs,Pittsburgh Pirates,5,3,Chicago Cubs,Wrigley Field
CIN201104020,"April  2, 2011",Cincinnati Reds,Milwaukee Brewers,4,2,Cincinnati Reds,Great American Ball Park
CLE201104020,"April  2, 2011",Cleveland Indians,Chicago White Sox,3,8,Chicago White Sox,Progressive Field
COL201104020,"April  2, 2011",Colorado Rockies,Arizona Diamondbacks,3,1,Colorado Rockies,Coors Field
FLO201104020,"April  2, 2011",Florida Marlins,New York Mets,4,6,New York Mets,Sun Life Stadium
KCA201104020,"April  2, 2011",Kansas City Royals,Los Angeles Angels of Anaheim,5,4,Kansas City Royals,Kauffman Stadium
LAN201104020,"April  2, 2011",Los Angeles Dodgers,San Francisco Giants,0,10,San Francisco Giants,Dodger Stadium
NYA201104020,"April  2, 2011",New York Yankees,Detroit Tigers,10,6,New York Yankees,Yankee Stadium III
OAK201104020,"April  2, 2011",Oakland Athletics,Seattle Mariners,2,5,Seattle Mariners,O.co Coliseum
PHI201104020,"April  2, 2011",Philadelphia Phillies,Houston Astros,9,4,Philadelphia Phillies,Citizens Bank Park
SLN201104020,"April  2, 2011",St. Louis Cardinals,San Diego Padres,3,11,San Diego Padres,Busch Stadium III
TBA201104020,"April  2, 2011",Tampa Bay Rays,Baltimore Orioles,1,3,Baltimore Orioles,Tropicana Field
TEX201104020,"April  2, 2011",Texas Rangers,Boston Red Sox,12,5,Texas Rangers,Rangers Ballpark in Arlington
TOR201104020,"April  2, 2011",Toronto Blue Jays,Minnesota Twins,6,1,Toronto Blue Jays,Rogers Centre
WAS201104020,"April  2, 2011",Washington Nationals,Atlanta Braves,6,3,Washington Nationals,Nationals Park
CHN201104030,"April  3, 2011",Chicago Cubs,Pittsburgh Pirates,4,5,Pittsburgh Pirates,Wrigley Field
CIN201104030,"April  3, 2011",Cincinnati Reds,Milwaukee Brewers,12,3,Cincinnati Reds,Great American Ball Park
CLE201104030,"April  3, 2011",Cleveland Indians,Chicago White Sox,7,1,Cleveland Indians,Progressive Field
FLO201104030,"April  3, 2011",Florida Marlins,New York Mets,2,9,New York Mets,Sun Life Stadium
KCA201104030,"April  3, 2011",Kansas City Royals,Los Angeles Angels of Anaheim,12,9,Kansas City Royals,Kauffman Stadium
LAN201104030,"April  3, 2011",Los Angeles Dodgers,San Francisco Giants,7,5,Los Angeles Dodgers,Dodger Stadium
NYA201104030,"April  3, 2011",New York Yankees,Detroit Tigers,7,10,Detroit Tigers,Yankee Stadium III
OAK201104030,"April  3, 2011",Oakland Athletics,Seattle Mariners,7,1,Oakland Athletics,O.co Coliseum
PHI201104030,"April  3, 2011",Philadelphia Phillies,Houston Astros,7,3,Philadelphia Phillies,Citizens Bank Park
SLN201104030,"April  3, 2011",St. Louis Cardinals,San Diego Padres,2,0,St. Louis Cardinals,Busch Stadium III
TBA201104030,"April  3, 2011",Tampa Bay Rays,Baltimore Orioles,1,5,Baltimore Orioles,Tropicana Field
TEX201104030,"April  3, 2011",Texas Rangers,Boston Red Sox,5,1,Texas Rangers,Rangers Ballpark in Arlington
TOR201104030,"April  3, 2011",Toronto Blue Jays,Minnesota Twins,3,4,Minnesota Twins,Rogers Centre
WAS201104030,"April  3, 2011",Washington Nationals,Atlanta Braves,2,11,Atlanta Braves,Nationals Park
