GameID,Date,home_team,away_team,home_score,away_score,winner,venue
LAN201803290,"March 29, 2018",Los Angeles Dodgers,San Francisco Giants,0,1,San Francisco Giants,Dodger Stadium
SEA201803290,"March 29, 2018",Seattle Mariners,Cleveland Indians,2,1,Seattle Mariners,Safeco Field
TEX201803290,"March 29, 2018",Texas Rangers,Houston Astros,1,4,Houston Astros,Globe Life Park in Arlington
OAK201803290,"March 29, 2018",Oakland Athletics,Los Angeles Angels,6,5,Oakland Athletics,Oakland-Alameda County Coliseum
MIA201803290,"March 29, 2018",Miami Marlins,Chicago Cubs,4,8,Chicago Cubs,Marlins Park
ATL201803290,"March 29, 2018",Atlanta Braves,Philadelphia Phillies,8,5,Atlanta Braves,SunTrust Park
KCA201803290,"March 29, 2018",Kansas City Royals,Chicago White Sox,7,14,Chicago White Sox,Kauffman Stadium
NYN201803290,"March 29, 2018",New York Mets,St. Louis Cardinals,9,4,New York Mets,Citi Field
ARI201803300,"March 30, 2018",Arizona Diamondbacks,Colorado Rockies,9,8,Arizona Diamondbacks,Chase Field
BAL201803290,"March 29, 2018",Baltimore Orioles,Minnesota Twins,3,2,Baltimore Orioles,Oriole Park at Camden Yards
SDN201803290,"March 29, 2018",San Diego Padres,Milwaukee Brewers,1,2,Milwaukee Brewers,Petco Park
TOR201803290,"March 29, 2018",Toronto Blue Jays,New York Yankees,1,6,New York Yankees,Rogers Centre
ATL201803300,"March 30, 2018",Atlanta Braves,Philadelphia Phillies,4,5,Philadelphia Phillies,SunTrust Park
CIN201803300,"March 30, 2018",Cincinnati Reds,Washington Nationals,0,2,Washington Nationals,"43,878"
SDN201803300,"March 30, 2018",San Diego Padres,Milwaukee Brewers,6,8,Milwaukee Brewers,Petco Park
TBA201803290,"March 29, 2018",Tampa Bay Rays,Boston Red Sox,6,4,Tampa Bay Rays,Tropicana Field
DET201803300,"March 30, 2018",Detroit Tigers,Pittsburgh Pirates,10,13,Pittsburgh Pirates,"42,516"
LAN201803300,"March 30, 2018",Los Angeles Dodgers,San Francisco Giants,0,1,San Francisco Giants,Dodger Stadium
MIA201803300,"March 30, 2018",Miami Marlins,Chicago Cubs,2,1,Miami Marlins,Marlins Park
OAK201803300,"March 30, 2018",Oakland Athletics,Los Angeles Angels,1,2,Los Angeles Angels,Oakland-Alameda County Coliseum
BAL201803310,"March 31, 2018",Baltimore Orioles,Minnesota Twins,2,6,Minnesota Twins,Oriole Park at Camden Yards
ARI201803290,"March 29, 2018",Arizona Diamondbacks,Colorado Rockies,8,2,Arizona Diamondbacks,Chase Field
CIN201803310,"March 31, 2018",Cincinnati Reds,Washington Nationals,7,13,Washington Nationals,Great American Ball Park
TBA201803300,"March 30, 2018",Tampa Bay Rays,Boston Red Sox,0,1,Boston Red Sox,Tropicana Field
MIA201803310,"March 31, 2018",Miami Marlins,Chicago Cubs,6,10,Chicago Cubs,Marlins Park
ATL201803310,"March 31, 2018",Atlanta Braves,Philadelphia Phillies,15,2,Atlanta Braves,SunTrust Park
ARI201803310,"March 31, 2018",Arizona Diamondbacks,Colorado Rockies,1,2,Colorado Rockies,Chase Field
TOR201803300,"March 30, 2018",Toronto Blue Jays,New York Yankees,2,4,New York Yankees,Rogers Centre
TEX201803300,"March 30, 2018",Texas Rangers,Houston Astros,5,1,Texas Rangers,Globe Life Park in Arlington
SDN201803310,"March 31, 2018",San Diego Padres,Milwaukee Brewers,3,7,Milwaukee Brewers,Petco Park
KCA201803310,"March 31, 2018",Kansas City Royals,Chicago White Sox,3,4,Chicago White Sox,Kauffman Stadium
SEA201803310,"March 31, 2018",Seattle Mariners,Cleveland Indians,5,6,Cleveland Indians,Safeco Field
NYN201803310,"March 31, 2018",New York Mets,St. Louis Cardinals,6,2,New York Mets,Citi Field
TEX201803310,"March 31, 2018",Texas Rangers,Houston Astros,3,9,Houston Astros,Globe Life Park in Arlington
BAL201804010,"April  1, 2018",Baltimore Orioles,Minnesota Twins,0,7,Minnesota Twins,Oriole Park at Camden Yards
LAN201803310,"March 31, 2018",Los Angeles Dodgers,San Francisco Giants,5,0,Los Angeles Dodgers,Dodger Stadium
LAN201804010,"April  1, 2018",Los Angeles Dodgers,San Francisco Giants,9,0,Los Angeles Dodgers,Dodger Stadium
DET201804012,"April  1, 2018",Detroit Tigers,Pittsburgh Pirates,6,8,Pittsburgh Pirates,Comerica Park
TOR201803310,"March 31, 2018",Toronto Blue Jays,New York Yankees,5,3,Toronto Blue Jays,Rogers Centre
OAK201803310,"March 31, 2018",Oakland Athletics,Los Angeles Angels,3,8,Los Angeles Angels,Oakland-Alameda County Coliseum
CIN201804010,"April  1, 2018",Cincinnati Reds,Washington Nationals,5,6,Washington Nationals,Great American Ball Park
DET201804011,"April  1, 2018",Detroit Tigers,Pittsburgh Pirates,0,1,Pittsburgh Pirates,"14,858"
TBA201804010,"April  1, 2018",Tampa Bay Rays,Boston Red Sox,1,2,Boston Red Sox,Tropicana Field
MIA201804010,"April  1, 2018",Miami Marlins,Chicago Cubs,6,0,Miami Marlins,Marlins Park
OAK201804010,"April  1, 2018",Oakland Athletics,Los Angeles Angels,4,7,Los Angeles Angels,Oakland-Alameda County Coliseum
TOR201804010,"April  1, 2018",Toronto Blue Jays,New York Yankees,7,4,Toronto Blue Jays,Rogers Centre
NYN201804010,"April  1, 2018",New York Mets,St. Louis Cardinals,1,5,St. Louis Cardinals,Citi Field
TBA201803310,"March 31, 2018",Tampa Bay Rays,Boston Red Sox,2,3,Boston Red Sox,Tropicana Field
SEA201804010,"April  1, 2018",Seattle Mariners,Cleveland Indians,5,4,Seattle Mariners,Safeco Field
TEX201804010,"April  1, 2018",Texas Rangers,Houston Astros,2,8,Houston Astros,Globe Life Park in Arlington
ANA201804020,"April  2, 2018",Los Angeles Angels,Cleveland Indians,0,6,Cleveland Indians,Angel Stadium of Anaheim
