GameID,Date,home_team,away_team,home_score,away_score,winner,venue
NYA201504060,"April  6, 2015",New York Yankees,Toronto Blue Jays,1,6,Toronto Blue Jays,Yankee Stadium III
CIN201504060,"April  6, 2015",Cincinnati Reds,Pittsburgh Pirates,5,2,Cincinnati Reds,Great American Ball Park
DET201504060,"April  6, 2015",Detroit Tigers,Minnesota Twins,4,0,Detroit Tigers,Comerica Park
MIA201504060,"April  6, 2015",Miami Marlins,Atlanta Braves,1,2,Atlanta Braves,Marlins Park
MIL201504060,"April  6, 2015",Milwaukee Brewers,Colorado Rockies,0,10,Colorado Rockies,Miller Park
ARI201504060,"April  6, 2015",Arizona Diamondbacks,San Francisco Giants,4,5,San Francisco Giants,Chase Field
SEA201504060,"April  6, 2015",Seattle Mariners,Los Angeles Angels of Anaheim,4,1,Seattle Mariners,Safeco Field
KCA201504060,"April  6, 2015",Kansas City Royals,Chicago White Sox,10,1,Kansas City Royals,Kauffman Stadium
PHI201504060,"April  6, 2015",Philadelphia Phillies,Boston Red Sox,0,8,Boston Red Sox,Citizens Bank Park
HOU201504060,"April  6, 2015",Houston Astros,Cleveland Indians,2,0,Houston Astros,Minute Maid Park
CHN201504050,"April  5, 2015",Chicago Cubs,St. Louis Cardinals,0,3,St. Louis Cardinals,Wrigley Field
OAK201504060,"April  6, 2015",Oakland Athletics,Texas Rangers,8,0,Oakland Athletics,O.co Coliseum
TBA201504060,"April  6, 2015",Tampa Bay Rays,Baltimore Orioles,2,6,Baltimore Orioles,Tropicana Field
WAS201504060,"April  6, 2015",Washington Nationals,New York Mets,1,3,New York Mets,Nationals Park
MIL201504070,"April  7, 2015",Milwaukee Brewers,Colorado Rockies,2,5,Colorado Rockies,Miller Park
SEA201504070,"April  7, 2015",Seattle Mariners,Los Angeles Angels of Anaheim,0,2,Los Angeles Angels of Anaheim,Safeco Field
MIA201504070,"April  7, 2015",Miami Marlins,Atlanta Braves,2,12,Atlanta Braves,Marlins Park
CIN201504080,"April  8, 2015",Cincinnati Reds,Pittsburgh Pirates,5,4,Cincinnati Reds,Great American Ball Park
CHN201504080,"April  8, 2015",Chicago Cubs,St. Louis Cardinals,2,0,Chicago Cubs,Wrigley Field
ARI201504080,"April  8, 2015",Arizona Diamondbacks,San Francisco Giants,2,5,San Francisco Giants,Chase Field
LAN201504060,"April  6, 2015",Los Angeles Dodgers,San Diego Padres,6,3,Los Angeles Dodgers,Dodger Stadium
LAN201504070,"April  7, 2015",Los Angeles Dodgers,San Diego Padres,3,7,San Diego Padres,Dodger Stadium
LAN201504080,"April  8, 2015",Los Angeles Dodgers,San Diego Padres,7,4,Los Angeles Dodgers,Dodger Stadium
ARI201504070,"April  7, 2015",Arizona Diamondbacks,San Francisco Giants,7,6,Arizona Diamondbacks,Chase Field
OAK201504070,"April  7, 2015",Oakland Athletics,Texas Rangers,1,3,Texas Rangers,O.co Coliseum
TBA201504070,"April  7, 2015",Tampa Bay Rays,Baltimore Orioles,5,6,Baltimore Orioles,Tropicana Field
DET201504080,"April  8, 2015",Detroit Tigers,Minnesota Twins,11,0,Detroit Tigers,Comerica Park
HOU201504080,"April  8, 2015",Houston Astros,Cleveland Indians,0,2,Cleveland Indians,Minute Maid Park
PHI201504080,"April  8, 2015",Philadelphia Phillies,Boston Red Sox,4,2,Philadelphia Phillies,Citizens Bank Park
SEA201504080,"April  8, 2015",Seattle Mariners,Los Angeles Angels of Anaheim,3,5,Los Angeles Angels of Anaheim,Safeco Field
CIN201504090,"April  9, 2015",Cincinnati Reds,Pittsburgh Pirates,3,2,Cincinnati Reds,Great American Ball Park
