GameID,Date,home_team,away_team,home_score,away_score,winner,venue
CIN201304010,"April  1, 2013",Cincinnati Reds,Los Angeles Angels of Anaheim,1,3,Los Angeles Angels of Anaheim,Great American Ball Park
MIN201304010,"April  1, 2013",Minnesota Twins,Detroit Tigers,2,4,Detroit Tigers,Target Field
HOU201303310,"March 31, 2013",Houston Astros,Texas Rangers,8,2,Houston Astros,Minute Maid Park
ARI201304010,"April  1, 2013",Arizona Diamondbacks,St. Louis Cardinals,6,2,Arizona Diamondbacks,Chase Field
MIL201304010,"April  1, 2013",Milwaukee Brewers,Colorado Rockies,5,4,Milwaukee Brewers,Miller Park
NYA201304010,"April  1, 2013",New York Yankees,Boston Red Sox,2,8,Boston Red Sox,Yankee Stadium III
OAK201304010,"April  1, 2013",Oakland Athletics,Seattle Mariners,0,2,Seattle Mariners,O.co Coliseum
NYN201304010,"April  1, 2013",New York Mets,San Diego Padres,11,2,New York Mets,Citi Field
CHA201304010,"April  1, 2013",Chicago White Sox,Kansas City Royals,1,0,Chicago White Sox,U.S. Cellular Field
LAN201304010,"April  1, 2013",Los Angeles Dodgers,San Francisco Giants,4,0,Los Angeles Dodgers,Dodger Stadium
WAS201304010,"April  1, 2013",Washington Nationals,Miami Marlins,2,0,Washington Nationals,Nationals Park
MIL201304020,"April  2, 2013",Milwaukee Brewers,Colorado Rockies,4,8,Colorado Rockies,Miller Park
PIT201304010,"April  1, 2013",Pittsburgh Pirates,Chicago Cubs,1,3,Chicago Cubs,PNC Park
ATL201304010,"April  1, 2013",Atlanta Braves,Philadelphia Phillies,7,5,Atlanta Braves,Turner Field
HOU201304020,"April  2, 2013",Houston Astros,Texas Rangers,0,7,Texas Rangers,Minute Maid Park
ARI201304020,"April  2, 2013",Arizona Diamondbacks,St. Louis Cardinals,1,6,St. Louis Cardinals,Chase Field
ATL201304030,"April  3, 2013",Atlanta Braves,Philadelphia Phillies,9,2,Atlanta Braves,Turner Field
CHA201304030,"April  3, 2013",Chicago White Sox,Kansas City Royals,5,2,Chicago White Sox,U.S. Cellular Field
LAN201304020,"April  2, 2013",Los Angeles Dodgers,San Francisco Giants,0,3,San Francisco Giants,Dodger Stadium
ARI201304030,"April  3, 2013",Arizona Diamondbacks,St. Louis Cardinals,10,9,Arizona Diamondbacks,Chase Field
TBA201304020,"April  2, 2013",Tampa Bay Rays,Baltimore Orioles,4,7,Baltimore Orioles,Tropicana Field
TOR201304020,"April  2, 2013",Toronto Blue Jays,Cleveland Indians,1,4,Cleveland Indians,Rogers Centre
OAK201304020,"April  2, 2013",Oakland Athletics,Seattle Mariners,1,7,Seattle Mariners,O.co Coliseum
PIT201304030,"April  3, 2013",Pittsburgh Pirates,Chicago Cubs,3,0,Pittsburgh Pirates,PNC Park
CIN201304030,"April  3, 2013",Cincinnati Reds,Los Angeles Angels of Anaheim,5,4,Cincinnati Reds,Great American Ball Park
NYN201304030,"April  3, 2013",New York Mets,San Diego Padres,8,4,New York Mets,Citi Field
