GameID,Date,home_team,away_team,home_score,away_score,winner,venue
OAK201604040,"April  4, 2016",Oakland Athletics,Chicago White Sox,3,4,Chicago White Sox,Oakland-Alameda County Coliseum
KCA201604030,"April  3, 2016",Kansas City Royals,New York Mets,4,3,Kansas City Royals,Kauffman Stadium
BAL201604040,"April  4, 2016",Baltimore Orioles,Minnesota Twins,3,2,Baltimore Orioles,Oriole Park at Camden Yards
PIT201604030,"April  3, 2016",Pittsburgh Pirates,St. Louis Cardinals,4,1,Pittsburgh Pirates,PNC Park
ARI201604040,"April  4, 2016",Arizona Diamondbacks,Colorado Rockies,5,10,Colorado Rockies,Chase Field
CIN201604040,"April  4, 2016",Cincinnati Reds,Philadelphia Phillies,6,2,Cincinnati Reds,Great American Ball Park
TBA201604030,"April  3, 2016",Tampa Bay Rays,Toronto Blue Jays,3,5,Toronto Blue Jays,Tropicana Field
ANA201604040,"April  4, 2016",Los Angeles Angels,Chicago Cubs,0,9,Chicago Cubs,Angel Stadium of Anaheim
ATL201604040,"April  4, 2016",Atlanta Braves,Washington Nationals,3,4,Washington Nationals,Turner Field
ANA201604050,"April  5, 2016",Los Angeles Angels,Chicago Cubs,1,6,Chicago Cubs,Angel Stadium of Anaheim
MIA201604050,"April  5, 2016",Miami Marlins,Detroit Tigers,7,8,Detroit Tigers,Marlins Park
TEX201604040,"April  4, 2016",Texas Rangers,Seattle Mariners,3,2,Texas Rangers,Globe Life Park in Arlington
TBA201604040,"April  4, 2016",Tampa Bay Rays,Toronto Blue Jays,3,5,Toronto Blue Jays,Tropicana Field
MIL201604040,"April  4, 2016",Milwaukee Brewers,San Francisco Giants,3,12,San Francisco Giants,Miller Park
SDN201604040,"April  4, 2016",San Diego Padres,Los Angeles Dodgers,0,15,Los Angeles Dodgers,Petco Park
NYA201604050,"April  5, 2016",New York Yankees,Houston Astros,3,5,Houston Astros,"47,820"
ARI201604050,"April  5, 2016",Arizona Diamondbacks,Colorado Rockies,11,6,Arizona Diamondbacks,Chase Field
CLE201604050,"April  5, 2016",Cleveland Indians,Boston Red Sox,2,6,Boston Red Sox,"34,493"
KCA201604050,"April  5, 2016",Kansas City Royals,New York Mets,0,2,New York Mets,Kauffman Stadium
CIN201604060,"April  6, 2016",Cincinnati Reds,Philadelphia Phillies,3,2,Cincinnati Reds,Great American Ball Park
SDN201604050,"April  5, 2016",San Diego Padres,Los Angeles Dodgers,0,3,Los Angeles Dodgers,Petco Park
PIT201604050,"April  5, 2016",Pittsburgh Pirates,St. Louis Cardinals,6,5,Pittsburgh Pirates,PNC Park
OAK201604050,"April  5, 2016",Oakland Athletics,Chicago White Sox,4,5,Chicago White Sox,Oakland-Alameda County Coliseum
MIL201604050,"April  5, 2016",Milwaukee Brewers,San Francisco Giants,1,2,San Francisco Giants,Miller Park
TEX201604050,"April  5, 2016",Texas Rangers,Seattle Mariners,2,10,Seattle Mariners,Globe Life Park in Arlington
TBA201604050,"April  5, 2016",Tampa Bay Rays,Toronto Blue Jays,3,2,Tampa Bay Rays,Tropicana Field
ARI201604060,"April  6, 2016",Arizona Diamondbacks,Colorado Rockies,3,4,Colorado Rockies,Chase Field
CLE201604060,"April  6, 2016",Cleveland Indians,Boston Red Sox,7,6,Cleveland Indians,Progressive Field
ATL201604060,"April  6, 2016",Atlanta Braves,Washington Nationals,1,3,Washington Nationals,Turner Field
MIL201604060,"April  6, 2016",Milwaukee Brewers,San Francisco Giants,4,3,Milwaukee Brewers,Miller Park
BAL201604060,"April  6, 2016",Baltimore Orioles,Minnesota Twins,4,2,Baltimore Orioles,Oriole Park at Camden Yards
NYA201604060,"April  6, 2016",New York Yankees,Houston Astros,16,6,New York Yankees,Yankee Stadium III
PIT201604060,"April  6, 2016",Pittsburgh Pirates,St. Louis Cardinals,5,1,Pittsburgh Pirates,PNC Park
SDN201604060,"April  6, 2016",San Diego Padres,Los Angeles Dodgers,0,7,Los Angeles Dodgers,Petco Park
ARI201604070,"April  7, 2016",Arizona Diamondbacks,Chicago Cubs,6,14,Chicago Cubs,Chase Field
MIA201604060,"April  6, 2016",Miami Marlins,Detroit Tigers,3,7,Detroit Tigers,Marlins Park
TBA201604060,"April  6, 2016",Tampa Bay Rays,Toronto Blue Jays,5,3,Tampa Bay Rays,Tropicana Field
TEX201604060,"April  6, 2016",Texas Rangers,Seattle Mariners,5,9,Seattle Mariners,Globe Life Park in Arlington
CIN201604070,"April  7, 2016",Cincinnati Reds,Philadelphia Phillies,10,6,Cincinnati Reds,Great American Ball Park
BAL201604070,"April  7, 2016",Baltimore Orioles,Minnesota Twins,4,2,Baltimore Orioles,Oriole Park at Camden Yards
