GameID,Date,home_team,away_team,home_score,away_score,winner,venue
BOS201004040,"April  4, 2010",Boston Red Sox,New York Yankees,9,7,Boston Red Sox,Fenway Park
ANA201004050,"April  5, 2010",Los Angeles Angels of Anaheim,Minnesota Twins,6,3,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim
ARI201004050,"April  5, 2010",Arizona Diamondbacks,San Diego Padres,6,3,Arizona Diamondbacks,Chase Field
ATL201004050,"April  5, 2010",Atlanta Braves,Chicago Cubs,16,5,Atlanta Braves,Turner Field
CHA201004050,"April  5, 2010",Chicago White Sox,Cleveland Indians,6,0,Chicago White Sox,U.S. Cellular Field
CIN201004050,"April  5, 2010",Cincinnati Reds,St. Louis Cardinals,6,11,St. Louis Cardinals,Great American Ball Park
HOU201004050,"April  5, 2010",Houston Astros,San Francisco Giants,2,5,San Francisco Giants,Minute Maid Park
KCA201004050,"April  5, 2010",Kansas City Royals,Detroit Tigers,4,8,Detroit Tigers,Kauffman Stadium
MIL201004050,"April  5, 2010",Milwaukee Brewers,Colorado Rockies,3,5,Colorado Rockies,Miller Park
NYN201004050,"April  5, 2010",New York Mets,Florida Marlins,7,1,New York Mets,Citi Field
OAK201004050,"April  5, 2010",Oakland Athletics,Seattle Mariners,3,5,Seattle Mariners,Oakland-Alameda County Coliseum
PIT201004050,"April  5, 2010",Pittsburgh Pirates,Los Angeles Dodgers,11,5,Pittsburgh Pirates,PNC Park
TEX201004050,"April  5, 2010",Texas Rangers,Toronto Blue Jays,5,4,Texas Rangers,Rangers Ballpark in Arlington
WAS201004050,"April  5, 2010",Washington Nationals,Philadelphia Phillies,1,11,Philadelphia Phillies,Nationals Park
ANA201004060,"April  6, 2010",Los Angeles Angels of Anaheim,Minnesota Twins,3,5,Minnesota Twins,Angel Stadium of Anaheim
ARI201004060,"April  6, 2010",Arizona Diamondbacks,San Diego Padres,3,6,San Diego Padres,Chase Field
BOS201004060,"April  6, 2010",Boston Red Sox,New York Yankees,4,6,New York Yankees,Fenway Park
